Titulo,Link,Resumen
"FútbolToluca sigue líder en el Clausura-2021 por goles de Michael Estrada y Joao PlataLiga MXFelipe Caicedo, presente en remontada de Lazio ante Sassuolo",https://www.eluniverso.com/futbol,""
"Felipe Caicedo, presente en remontada de Lazio ante Sassuolo",https://www.eluniverso.com/deportes/2021/01/24/nota/9600322/vivo-lazio-vs-sassuolo-italia-serie-tim-2020-2021,""
"Ángelo Preciado se afianza de titular en Genk, aunque no consigue victoria aún",https://www.eluniverso.com/deportes/2021/01/24/nota/9600346/titular-angelo-preciado-genk-brujas,""
"Ricardo Vasconcellos Rosado: La primera visita de Millonarios, en 1946",https://www.eluniverso.com/deportes/2021/01/23/nota/9599497/ricardo-vasconcellos-rosado-primera-visita-millonarios-colombia,""
Entrenador surcoreano de patinaje fue condenado a más de diez años por abuso sexual,https://www.eluniverso.com/deportes/2021/01/24/nota/9600619/entrenador-surcoreano-patinaje-fue-condenado-mas-diez-anos-abuso,"El entrenador abusó sexualmente de Shim Suk-hee, atleta surcoreana de patinaje, desde que era menor de edad."
"Querétaro, con Antonio Valencia de capitán, va por su segunda victoria en la Liga MXLiga MX",https://www.eluniverso.com/deportes/2021/01/24/nota/9600592/antonio-valencia-queretaro-pumas-jornada-3-clausura-2021-liga-mx,Los Gallos Blancos necesitan el triunfo para alcanzar a Tigres y Monterrey en la parte alta de la tabla.
'Estoy absolutamente a favor de que las mujeres jueguen cinco sets en una final de Grand Slam',https://www.eluniverso.com/deportes/2021/01/24/nota/9600535/amelie-mauresmo-mujeres-jugar-cinco-sets-final-grand-slam-tenis,"Amelie Mauresmo, retirada del circuito profesional, se sincera y confiesa al hacer un repaso de su carrera que tuvo que afrontar su homosexualidad de..."
El FC Barcelona hunde al Elche y no pierde pista en LaLigaLa Liga,https://www.eluniverso.com/deportes/2021/01/24/nota/9600496/fc-barcelona-hunde-elche-no-pierde-pista-laliga,El argentino Lionel Messi no fue parte de este compromiso ya que se encuentra cumpliendo con su sanción luego de ser expulsado en la Copa.
"Manchester United, a octavos de final de FA Cup tras eliminar al Liverpool",https://www.eluniverso.com/deportes/2021/01/24/nota/9600487/manchester-united-octavos-final-fa-cup-tras-eliminar-liverpool,Un gol de Bruno Fernandes en la recta final le dio el triunfo a los Red Devils.
Mueren en accidente aéreo cuatro jugadores y el presidente de un club brasileño de fútbol,https://www.eluniverso.com/deportes/2021/01/24/nota/9600469/mueren-accidente-aereo-cuatro-jugadores-presidente-club-brasileno,"El piloto, cuatro jugadores y el presidente del club Palmas Fútbol y Regatas, fallecieron en el accidente aéreo."
Mexicano 'Dodger' Montaño brindó dos seminarios de MMA en Guayaquil,https://www.eluniverso.com/deportes/2021/01/24/nota/9600433/ufc-dodger-montano-ecuador-seminarios-mma,"Expeleador mexicano en UFC disertó sobre técnicas, conceptos, experiencias y la filosofía de las artes marciales."
Mesut Özil se despide del Arsenal y es nuevo jugador del Fenerbahce,https://www.eluniverso.com/deportes/2021/01/24/nota/9600403/mesut-ozil-se-despide-arsenal-es-nuevo-jugador-fenerbahce,El mediapunta alemán será compañero de Enner Valencia en el cuadro turco.
Audaz Octubrino vence en la primera final y va por el título de Liga de Básquet,https://www.eluniverso.com/deportes/2021/01/24/nota/9600343/audaz-octubrino-vence-primera-final-va-titulo-liga-basquet,Cogarol cae en inicio. Mañana se jugará en Quito y si la serie se iguala habrá un tercer y definitivo partido.
Comisión Técnica decidirá si continúa o no la segunda final de la Liga Femenina de Básquet,https://www.eluniverso.com/deportes/2021/01/24/nota/9600337/comision-tecnica-decidira-si-continua-o-no-segunda-final-liga,"Intendencia de Policía no permitió que finalice partido en el coliseo Julio César Hidalgo, de Quito"
Año clave para 'Canelo' Álvarez inicia con combate ante Avni Yildirim,https://www.eluniverso.com/deportes/2021/01/24/nota/9600325/ano-clave-canelo-alvarez-inicia-combate-ante-avni-yildirim,"Después de derrotar y quitarle el invicto por votación unánime al inglés Callum Smith, Álvarez llegó a 54 victorias, con una derrota y dos empates."
Poirier deja en ridículo a McGregor tras noquearlo en su tercer regreso al octágono,https://www.eluniverso.com/deportes/2021/01/24/nota/9600298/ufc-257-poirier-noquea-mcgregor-segundo-asalto-pelea-estelar,"El inicio del segundo asalto mostró un detalle que quizá fue clave. Con una patada a la pierna derecha de McGregor, Poirier lo hizo trastabillar."
"Jorge Barraza: Zidane, trapecista sin redAlguien tenía que decirlo",https://www.eluniverso.com/deportes/2021/01/23/nota/9599491/jorge-barraza-zinedine-zidane-trapecista-red,"Se acusa al francés de jugar siempre con los mismos que le dieron los títulos, envejecidos varios, entre otros desaciertos."
Gonzalo Plata conquista con Sporting de Lisboa la Copa de la Liga de PortugalEcuatorianos de exportación,https://www.eluniverso.com/deportes/2021/01/23/nota/9599401/gonzalo-plata-sporting-lisboa-campeon-copa-liga-portugal,El joven extremo se consagró campeón de la Copa de la Liga de Portugal tras la final ante el Sporting de Braga.
Tom Dumoulin sorprende con anuncio de tomar 'una pausa' en su carrera,https://www.eluniverso.com/deportes/2021/01/23/nota/9599293/tom-dumoulin-sorprende-anuncio-tomar-pausa-su-carrera,"El corredor pasó 400 días sin competencia, entre una lesión en la rodilla izquierda y la primera parte de la temporada 2020 afectada por el COVID-19."
AC Milan conserva liderato pese a goleada que le propinó AtalantaLiga italiana,https://www.eluniverso.com/deportes/2021/01/23/nota/9599287/ac-milan-conserva-liderato-pese-goleada-que-le-propino-atalanta,El el club rossonero debutó el croata Mario Mandžukić.
Juegos Olímpicos de Tokio 2020 serían los más caros de la historiaJuegos Olímpicos Tokio 2020,https://www.eluniverso.com/deportes/2021/01/23/nota/9599278/juegos-olimpicos-mas-caros-historia,"El presupuesto final superará al de Londres 2012, de 14.950 millones de dólares, así como a Pekín 2008, estimado en 15.000 millones."
"Augusto Morán: Juegos Olímpicos nos invitan a soñar, pero es de vital importancia el apoyo económico Juegos Olímpicos Tokio 2020",https://www.eluniverso.com/deportes/2021/01/23/nota/9599248/juegos-olimpicos-ecuador-recursos-medallas-tokio,"Deportistas tricolores cuentan con buenas opciones de medallas, pero demora en entrega de recursos son obstáculo en su preparación."
"Defensa y Justicia, campeón de la Copa Sudamericana 2020Copa Sudamericana",https://www.eluniverso.com/deportes/2021/01/23/nota/9599239/vivo-lanus-vs-defensa-justicia-final-copa-sudamericana-2020,"El elenco 'Granate', en el cual es asistente del DT Luis Zubeldía el ecuatoriano Carlos Gruezo, pierde su segunda final internacional."
