Poscicion,Temporada,Conferencia,Equipo,Victorias,Derrotas,V/D,PuntosPorJuego,PuntosRecibidosPorJuego,SRS
1,2015-2016,este,Cleveland Cavaliers*,57,25,.695,104.3,98.3,5.45
2,2015-2016,este,Toronto Raptors*,56,26,.683,102.7,98.2,4.08
3,2015-2016,este,Miami Heat*,48,34,.585,100.0,98.4,1.50
4,2015-2016,este,Atlanta Hawks*,48,34,.585,102.8,99.2,3.49
5,2015-2016,este,Boston Celtics*,48,34,.585,105.7,102.5,2.84
6,2015-2016,este,Charlotte Hornets*,48,34,.585,103.4,100.7,2.36
7,2015-2016,este,Indiana Pacers*,45,37,.549,102.2,100.5,1.62
8,2015-2016,este,Detroit Pistons*,44,38,.537,102.0,101.4,0.43
9,2015-2016,este,Chicago Bulls,42,40,.512,101.6,103.1,-1.46
10,2015-2016,este,Washington Wizards,41,41,.500,104.1,104.6,-0.50
11,2015-2016,este,Orlando Magic,35,47,.427,102.1,103.7,-1.68
12,2015-2016,este,Milwaukee Bucks,33,49,.402,99.0,103.2,-3.98
13,2015-2016,este,New York Knicks,32,50,.390,98.4,101.1,-2.74
14,2015-2016,este,Brooklyn Nets,21,61,.256,98.6,106.0,-7.12
15,2015-2016,este,Philadelphia 76ers,10,72,.122,97.4,107.6,-9.92
1,2015-2016,oeste,Golden State Warriors*,73,9,.890,114.9,104.1,10.38
2,2015-2016,oeste,San Antonio Spurs*,67,15,.817,103.5,92.9,10.28
3,2015-2016,oeste,Oklahoma City Thunder*,55,27,.671,110.2,102.9,7.09
4,2015-2016,oeste,Los Angeles Clippers*,53,29,.646,104.5,100.2,4.13
5,2015-2016,oeste,Portland Trail Blazers*,44,38,.537,105.1,104.3,0.98
6,2015-2016,oeste,Dallas Mavericks*,42,40,.512,102.3,102.6,-0.02
7,2015-2016,oeste,Memphis Grizzlies*,42,40,.512,99.1,101.3,-2.14
8,2015-2016,oeste,Houston Rockets*,41,41,.500,106.5,106.4,0.34
9,2015-2016,oeste,Utah Jazz,40,42,.488,97.7,95.9,1.84
10,2015-2016,oeste,Sacramento Kings,33,49,.402,106.6,109.1,-2.32
11,2015-2016,oeste,Denver Nuggets,33,49,.402,101.9,105.0,-2.81
12,2015-2016,oeste,New Orleans Pelicans,30,52,.366,102.7,106.5,-3.56
13,2015-2016,oeste,Minnesota Timberwolves,29,53,.354,102.4,106.0,-3.38
14,2015-2016,oeste,Phoenix Suns,23,59,.280,100.9,107.5,-6.32
15,2015-2016,oeste,Los Angeles Lakers,17,65,.207,97.3,106.9,-8.92
1,2016-2017,este,Boston Celtics*,53,29,.646,108.0,105.4,2.25
2,2016-2017,este,Cleveland Cavaliers*,51,31,.622,110.3,107.2,2.87
3,2016-2017,este,Toronto Raptors*,51,31,.622,106.9,102.6,3.65
4,2016-2017,este,Washington Wizards*,49,33,.598,109.2,107.4,1.36
5,2016-2017,este,Atlanta Hawks*,43,39,.524,103.2,104.0,-1.23
6,2016-2017,este,Milwaukee Bucks*,42,40,.512,103.6,103.8,-0.45
7,2016-2017,este,Indiana Pacers*,42,40,.512,105.1,105.3,-0.64
8,2016-2017,este,Chicago Bulls*,41,41,.500,102.9,102.4,0.03
9,2016-2017,este,Miami Heat,41,41,.500,103.2,102.1,0.77
10,2016-2017,este,Detroit Pistons,37,45,.451,101.3,102.5,-1.29
11,2016-2017,este,Charlotte Hornets,36,46,.439,104.9,104.7,-0.07
12,2016-2017,este,New York Knicks,31,51,.378,104.3,108.0,-3.87
13,2016-2017,este,Orlando Magic,29,53,.354,101.1,107.6,-6.61
14,2016-2017,este,Philadelphia 76ers,28,54,.341,102.4,108.1,-5.83
15,2016-2017,este,Brooklyn Nets,20,62,.244,105.8,112.5,-6.74
1,2016-2017,oeste,Golden State Warriors*,67,15,.817,115.9,104.3,11.35
2,2016-2017,oeste,San Antonio Spurs*,61,21,.744,105.3,98.1,7.13
3,2016-2017,oeste,Houston Rockets*,55,27,.671,115.3,109.6,5.84
4,2016-2017,oeste,Los Angeles Clippers*,51,31,.622,108.7,104.4,4.42
5,2016-2017,oeste,Utah Jazz*,51,31,.622,100.7,96.8,4.00
6,2016-2017,oeste,Oklahoma City Thunder*,47,35,.573,106.6,105.8,1.14
7,2016-2017,oeste,Memphis Grizzlies*,43,39,.524,100.5,100.0,0.96
8,2016-2017,oeste,Portland Trail Blazers*,41,41,.500,107.9,108.5,-0.23
9,2016-2017,oeste,Denver Nuggets,40,42,.488,111.7,111.2,0.70
10,2016-2017,oeste,New Orleans Pelicans,34,48,.415,104.3,106.4,-1.69
11,2016-2017,oeste,Dallas Mavericks,33,49,.402,97.9,100.8,-2.53
12,2016-2017,oeste,Sacramento Kings,32,50,.390,102.8,106.7,-3.29
13,2016-2017,oeste,Minnesota Timberwolves,31,51,.378,105.6,106.7,-0.64
14,2016-2017,oeste,Los Angeles Lakers,26,56,.317,104.6,111.5,-6.29
15,2016-2017,oeste,Phoenix Suns,24,58,.293,107.7,113.3,-5.14
1,2017-2018,este,Toronto Raptors*,59,23,.720,111.7,103.9,7.29
2,2017-2018,este,Boston Celtics*,55,27,.671,104.0,100.4,3.23
3,2017-2018,este,Philadelphia 76ers*,52,30,.634,109.8,105.3,4.30
4,2017-2018,este,Cleveland Cavaliers*,50,32,.610,110.9,109.9,0.59
5,2017-2018,este,Indiana Pacers*,48,34,.585,105.6,104.2,1.18
6,2017-2018,este,Miami Heat*,44,38,.537,103.4,102.9,0.15
7,2017-2018,este,Milwaukee Bucks*,44,38,.537,106.5,106.8,-0.45
8,2017-2018,este,Washington Wizards*,43,39,.524,106.6,106.0,0.53
9,2017-2018,este,Detroit Pistons,39,43,.476,103.8,103.9,-0.26
10,2017-2018,este,Charlotte Hornets,36,46,.439,108.2,108.0,0.07
11,2017-2018,este,New York Knicks,29,53,.354,104.5,108.0,-3.53
12,2017-2018,este,Brooklyn Nets,28,54,.341,106.6,110.3,-3.67
13,2017-2018,este,Chicago Bulls,27,55,.329,102.9,110.0,-6.84
14,2017-2018,este,Orlando Magic,25,57,.305,103.4,108.2,-4.92
15,2017-2018,este,Atlanta Hawks,24,58,.293,103.4,108.8,-5.30
1,2017-2018,oeste,Houston Rockets*,65,17,.793,112.4,103.9,8.21
2,2017-2018,oeste,Golden State Warriors*,58,24,.707,113.5,107.5,5.79
3,2017-2018,oeste,Portland Trail Blazers*,49,33,.598,105.6,103.0,2.60
4,2017-2018,oeste,Oklahoma City Thunder*,48,34,.585,107.9,104.4,3.42
5,2017-2018,oeste,Utah Jazz*,48,34,.585,104.1,99.8,4.47
6,2017-2018,oeste,New Orleans Pelicans*,48,34,.585,111.7,110.4,1.48
7,2017-2018,oeste,San Antonio Spurs*,47,35,.573,102.7,99.8,2.89
8,2017-2018,oeste,Minnesota Timberwolves*,47,35,.573,109.5,107.3,2.35
9,2017-2018,oeste,Denver Nuggets,46,36,.561,110.0,108.5,1.57
10,2017-2018,oeste,Los Angeles Clippers,42,40,.512,109.0,109.0,0.15
11,2017-2018,oeste,Los Angeles Lakers,35,47,.427,108.1,109.6,-1.44
12,2017-2018,oeste,Sacramento Kings,27,55,.329,98.8,105.8,-6.60
13,2017-2018,oeste,Dallas Mavericks,24,58,.293,102.3,105.4,-2.70
14,2017-2018,oeste,Memphis Grizzlies,22,60,.268,99.3,105.5,-5.81
15,2017-2018,oeste,Phoenix Suns,21,61,.256,103.9,113.3,-8.80
1,2018-2019,este,Milwaukee Bucks*,60,22,.732,118.1,109.3,8.04
2,2018-2019,este,Toronto Raptors*,58,24,.707,114.4,108.4,5.49
3,2018-2019,este,Philadelphia 76ers*,51,31,.622,115.2,112.5,2.25
4,2018-2019,este,Boston Celtics*,49,33,.598,112.4,108.0,3.90
5,2018-2019,este,Indiana Pacers*,48,34,.585,108.0,104.7,2.76
6,2018-2019,este,Brooklyn Nets*,42,40,.512,112.2,112.3,-0.40
7,2018-2019,este,Orlando Magic*,42,40,.512,107.3,106.6,0.28
8,2018-2019,este,Detroit Pistons*,41,41,.500,107.0,107.3,-0.56
9,2018-2019,este,Charlotte Hornets,39,43,.476,110.7,111.8,-1.32
10,2018-2019,este,Miami Heat,39,43,.476,105.7,105.9,-0.45
11,2018-2019,este,Washington Wizards,32,50,.390,114.0,116.9,-3.30
