Titular,Link,Categoria,Resumen,Fecha
El último contrato de Messi asciende a más de 500 millones,https://as.com/futbol/2021/01/30/primera/1612047093_780978.html,            BARCELONA            ,El Mundo desvela las cifras: 138 millones de máximo por temporada entre fijos y variables; un bonus de renovación de 115 y una cláusula de fidelidad de casi 78.,31/01/2021
Militao no levanta cabeza,https://as.com/futbol/2021/01/30/primera/1612036504_718901.html,            REAL MADRID            ,"El brasileño se pegó un tiro en el pie con su expulsión, dejando al Madrid con diez más de 80 minutos. Con él de titular, el equipo pinchó en 10 de 21 partidos...",30/01/2021
Réquiem con diez,https://as.com/futbol/2021/01/30/primera/1612009585_328994.html,            REAL MADRID-LEVANTE            ,"FinalizadoEl Madrid jugó 82 minutos con uno menos, por expulsión de Militao, y vio como un Levante valiente le remontaba con goles de Morales y Roger.",30/01/2021
"","","","",28/01/2021
Dos misiles alejan la Champions,https://as.com/futbol/2021/01/30/primera/1612040283_194029.html,            VILLARREAL 1-REAL SOCIEDAD 1            ,"FinalizadoEl tanto de Isak en el 93' rescata a la Real y neutraliza el golazo inicial de Parejo (3'), El empate deja a ambos más lejos del sueño de meterse entre los cuatro primeros.",30/01/2021
El Sevilla mantiene una racha que aviva sus opciones europeas,https://as.com/futbol/2021/01/30/primera/1612019225_558882.html,            EIBAR 0- SEVILLA 2            ,"FinalizadoLos hispalenses se adelantaron en Ipurua tras un gol de penalti de Ocampos, que el árbitro concedió tras revisar la jugada en el monitor del VAR. Jordán hizo el segundo.",30/01/2021
"Palmeiras, agónico rey de América",https://as.com/futbol/2021/01/30/internacional/1612030300_838288.html,            FINAL COPA LIBERTADORES            ,"En DirectoFinalizadoSigue el Palmeiras vs Santos, en vivo y en directo online, final de la Copa Libertadores 2020; que se juega hoy, sábado 30 de enero, a través de As.com.",30/01/2021
¿Dice el Madrid adiós a la Liga?,/encuestas/2021/01/30/1612028738.html,            ENCUESTA            ,"",30/01/2021
Los ultras del Marsella pegan y roban a Álvaro González; el partido tuvo que ser suspendido,https://as.com/futbol/2021/01/30/internacional/1612018606_121353.html,            FRANCIA            ,"",30/01/2021
Al United se le escapa el liderato,https://as.com/futbol/2021/01/30/internacional/1612035881_003898.html,            ARSENAL 0-MAN. UNITED 0            ,Finalizado,30/01/2021
Cuarta victoria seguida para la Juve,https://as.com/futbol/2021/01/30/internacional/1611989813_574106.html,            SAMPDORIA 0 - JUVENTUS 2            ,Finalizado,30/01/2021
El efecto Jovic no se apaga,https://as.com/futbol/2021/01/30/internacional/1611988143_059354.html,            EINTRACHT 3- HERTHA 1            ,FinalizadoEl efecto Jovic no se apaga en Frankfurt y el Eintracht suma ya 33 puntos en tercera posición de la Bundesliga tras ganarle al Hertha.,30/01/2021
"Carrasco y Hermoso, bajas ante el Cádiz por coronavirus",https://as.com/futbol/2021/01/30/primera/1612003736_924347.html,            ATLÉTICO DE MADRID            ,El belga y el central se encuentran aislados en sus domicilios desde ayer después de dar positivo en las pruebas PCR. Son baja para Cádiz.,30/01/2021
Futre trolea al Madrid tras su derrota contra el Levante,https://as.com/futbol/2021/01/30/primera/1612028216_244275.html,            ATLÉTICO DE MADRID            ,El pinchazo blanco deja el camino cada vez más abierto al Atlético y la leyenda rojiblanca ironiza sobre el mal momento blanco.,30/01/2021
"El United, a por Ramos",https://as.com/futbol/2021/01/30/primera/1611996369_807249.html,            MERCADO DE FICHAJES            ,"En DirectoSigue en directo las últimas noticias sobre el mercado de fichajes en LaLiga, Segunda, Premier, Serie A, Bundesliga: traspasos, renovaciones...",31/01/2021
Ferran Torres y Gabriel Jesús encumbran al City,https://as.com/futbol/2021/01/30/internacional/1612025946_919937.html,            M. CITY 1 - SHEFFIELD 0            ,FinalizadoEl Manchester City se afianza en el liderato de la Premier League. El resultado pudo ser mayor en el segundo tiempo de no ser por Ramsdale.,30/01/2021
Un 'gallego' ilusiona al Arsenal,https://as.com/opinion/2021/01/30/blogs/1612008692_660823.html,"","",""
'Un polvorín Real',https://as.com/opinion/2021/01/28/blogs/1611862278_031196.html,"","",""
Los porteros lanzapenaltis,https://as.com/opinion/2021/01/28/blogs/1611822647_213371.html,"","",""
La inolvidable manita al Dream Team de Cruyff,https://as.com/opinion/2021/01/07/blogs/1610027733_934999.html,"","",""
Mi sueño es hacer el himno de la Decimocuarta del Madrid,https://as.com/opinion/2020/03/13/blogs/1584107171_300470.html,"","",""
El Madrid se estrena en Maracaná,https://as.com/opinion/2018/02/11/blogs/1518378129_282653.html,"","",""
La Superliga asegura pagar de una tacada el Nuevo Bernabéu,https://as.com/futbol/2021/01/30/primera/1611979903_490196.html,            REAL MADRID            ,"El dosier publicado por The Times revela que los 15 clubes fundadores se aseguran de inicio 350M€ por cabeza más 233 ""para reformas"".",30/01/2021
"Koeman: ""El Barça no está para ganar muchas cosas""",https://as.com/futbol/2021/01/30/primera/1612001364_088210.html,            BARCELONA            ,"Discurso crudo del técnico holandés, que asegura que Eric García ""vendrá la próxima temporada"" y que se desmarca de la filtración del informe técnico: ""No me interesa"".",30/01/2021
"""Un centro del campo con Maradona y Pelé de interiores""",https://as.com/futbol/2021/01/28/internacional/1611874657_000479.html,            #11LEYENDAS            ,"Axel Torres, colaborador de AS, nos ofrece su 11LeyendAS con un sistema moderno (4-3-3) pero con una alineación plagada de jugadores históricos de diferentes décadas.",29/01/2021
El portero del Caen se encuentra en la UCI tras desvanecerse sobre el césped,https://as.com/futbol/2021/01/30/internacional/1612047147_990590.html,            FRANCIA            ,Garissone Innocent se desvaneció sobre el césped y tuvo que se trasladado a un hospital. El club francés informó que el portero está consciente y a la espera de pruebas médicas,30/01/2021
"11 LeyendAS: ""El 10, el verdadero 10, no es otro que Maradona""",https://as.com/futbol/2021/01/30/internacional/1612045924_961873.html,            #11LEYENDAS            ,"Kiko Narváez, colaborador de AS y exjugador del Atlético y de la Selección, nos ofrece su once de leyendas basado en jugadores con los que coincidió, con cinco españoles.",30/01/2021
El jardín de Corpas y Sadiq,https://as.com/futbol/2021/01/30/segunda/1612044649_617548.html,            ALMERÍA 3-CASTELLÓN 1            ,FinalizadoEl delantero nigeriano desatasca con un cabezazo el embrollo en el que estaba el Almería. Asistió a José Corpas en el 1-0 en un gol de manual.,30/01/2021
Así ganan los líderes,https://as.com/futbol/2021/01/30/segunda/1612042376_582734.html,            MALLORCA 1- GIRONA 0            ,FinalizadoUn gol de Amath en el descuento aúpa al Mallorca en la primera plaza y hiere a un Girona que también apuntaba a parte alta y está lejos del objetivo.,30/01/2021
El Chimy presume de cicatrices,https://as.com/futbol/2021/01/30/primera/1612039028_932528.html,            OSASUNA            ,"Una segunda lesión de rodilla en septiembre lastró al bravo delantero de Osasuna, pero su pundonor le acerca de nuevo a los terrenos de juego.",30/01/2021
El saludo entre dos en el Arsenal-United que hace un año pensaban que estarían hoy en el Madrid,https://as.com/futbol/2021/01/30/videos/1612036443_039430.html,"",La imagen más curiosa del debut de Odegaard fue su saludo con alguien que hace un año se pensaba que sería su compañero en la casa blanca.,30/01/2021
"Gary Neville se rinde a Bruno Fernandes: ""Tiene fuego...""",https://as.com/futbol/2021/01/30/internacional/1612033237_064669.html,"","El extécnico del valencia y exjugador del Manchester United elogia al centrocampista portugués: ""Es la energía del equipo. Tiene fuego"".",30/01/2021
Está de Eurocopa y de lo que él quiera: la brutalidad de Morata que entusiasma a Pirlo,https://as.com/futbol/2021/01/30/videos/1612032933_882703.html,            SAMPDORIA 0 - JUVENTUS 2            ,"El 0-1 de la Juventus ante la Sampdoria llegó tras una gran acción del delantero español. Gran recepción, dejada y desmarque para después asistir a Chiesa.",30/01/2021
"""Con Militao basta una amarilla, Sergio León se iba a la izquierda""",https://as.com/futbol/2021/01/30/primera/1612032575_810787.html,            REAL MADRID-LEVANTE            ,"Butragueño se queja de la roja y añade que ""llama la atención que el árbitro no fuese a ver el penalti de Vinicius porque hay una toma en que se ve que es fuera del área"".",30/01/2021
Amath entrega el liderato al Mallorca con un gol en el 91',https://as.com/futbol/2021/01/30/segunda/1612031251_049911.html,"",FinalizadoEl senegalés marcó el tanto de la victoria en el descuento tras una gran jugada de Dani Rodríguez en un partido muy nivelado. El Mallorca se pone líder.,30/01/2021
"Courtois: ""No hemos hecho un mal partido""",https://as.com/futbol/2021/01/30/portada/1612028058_437901.html,            REAL MADRID 1-LEVANTE 2            ,Courtois expone su punto de vista sobre el rendimiento del conjunto blanco en una dura derrota ante el Levante UD.,30/01/2021
